,Observation_ID,Station,Instrument,Center_Frequencies,Size_MB,File_Label,Start_UTC,End_UTC,Direct_Download_URL
16,167245,n5tnl-rx888,rx888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",44.6075,OBS2026-05-21T00-00,2026-05-21 00:00:00,2026-05-21 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167245/
17,167248,N2YCH,RX888,"10.000 MHz, 5.000 MHz, 15.000 MHz, 20.000 MHz, 25.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",33.4476,OBS2026-05-21T00-00,2026-05-21 00:00:00,2026-05-21 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167248/
18,167249,K3LR,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",35.6549,OBS2026-05-21T00-00,2026-05-21 00:00:00,2026-05-21 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167249/
19,167252,Marahau,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",17.0941,OBS2026-05-21T00-00,2026-05-21 00:00:00,2026-05-21 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167252/
20,167253,g4zfq_Alan,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",19.0968,OBS2026-05-21T00-00,2026-05-21 00:00:00,2026-05-21 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167253/
21,167143,pa0rwt Grape-1 DRF,Flex-1500,14.670 MHz,34.1753,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-21 00:00:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167143/
22,167151,N4RVE,RX888,"5.000 MHz, 2.500 MHz, 3.330 MHz",3.7278,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167151/
23,167156,KFS_NW,NW RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",7.7617,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167156/
24,167159,W1EUJ,RX888_Palomar,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",4.7561,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167159/
25,167161,AC0G_ND,RX888_ND,"10.000 MHz, 5.000 MHz, 15.000 MHz, 20.000 MHz, 25.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",31.1069,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167161/
