Observation_ID,Station,Instrument,Center_Frequencies,Size_MB,File_Label,Start_UTC,End_UTC,Direct_Download_URL,Scraped_Page
105355,AC0G_B2,RX888-ka9q,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",36.5193,OBS2025-08-13T00-00,2025-08-13 00:00:00,2025-08-13 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105355/,295
105358,G4HZX-Main,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",20.1065,OBS2025-08-13T00-00,2025-08-13 00:00:00,2025-08-13 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105358/,295
105359,AB4EJ-rx888,rx888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",29.0887,OBS2025-08-13T00-00,2025-08-13 00:00:00,2025-08-13 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105359/,295
105361,PA0SLT Node 24,Grape 1 Legacy,14.670 MHz,3.8825,2025-08-13T000000Z_N0000024_G1_JO33kg_FRQ_CHU14.csv,2025-08-13 00:00:00,2025-08-13 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105361/,295
105364,pa0rwt Grape-1 Fldigi,Grape 1 Legacy,14.670 MHz,3.8818,2025-08-13T000000Z_N0000035_C1_JO33lg_FRQ_CHU14.csv,2025-08-13 00:00:00,2025-08-13 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105364/,295
105365,KV0S_MO,rx888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 20.000 MHz, 25.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",27.6295,OBS2025-08-13T00-00,2025-08-13 00:00:00,2025-08-13 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105365/,295
105366,K9TRV-WSPR-RX888-3,RX888-mk2 #3,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",29.7929,OBS2025-08-13T00-00,2025-08-13 00:00:00,2025-08-13 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105366/,296
105367,K9TRV RX888-1,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",29.0396,OBS2025-08-13T00-00,2025-08-13 00:00:00,2025-08-13 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105367/,296
105368,JJmp,Wsprdaemon-Beel...,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",23.1970,OBS2025-08-13T00-00,2025-08-13 00:00:00,2025-08-13 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105368/,296
105374,CAZ_KE2FDW,RX-888 MK II - ...,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",29.7995,OBS2025-08-13T00-00,2025-08-13 00:00:00,2025-08-13 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105374/,296
105375,w2naf-rx888-sas,rx888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",31.1822,OBS2025-08-13T00-00,2025-08-13 00:00:00,2025-08-13 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105375/,296
105378,KFS_OMNI,KFS_Omni,"5.000 MHz, 2.500 MHz, 3.330 MHz",37.7157,OBS2025-08-13T00-00,2025-08-13 00:00:00,2025-08-13 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105378/,296
105379,NJIT-Demo,RX-888-2,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",20.4191,OBS2025-08-13T00-00,2025-08-13 00:00:00,2025-08-13 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105379/,296
105380,K3LR,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",27.0727,OBS2025-08-13T00-00,2025-08-13 00:00:00,2025-08-13 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105380/,296
105381,Marahau,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",17.3177,OBS2025-08-13T00-00,2025-08-13 00:00:00,2025-08-13 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105381/,297
105386,g4zfq_Alan,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",20.4919,OBS2025-08-13T00-00,2025-08-13 00:00:00,2025-08-13 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105386/,297
105389,K9TRV-WSPR-RX888-2,RX888-mk2 #2,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",32.0185,OBS2025-08-13T00-00,2025-08-13 00:00:00,2025-08-13 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105389/,297
105396,KFS_SW,RX888,"5.000 MHz, 2.500 MHz, 3.330 MHz",25.2931,OBS2025-08-13T00-00,2025-08-13 00:00:00,2025-08-13 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105396/,297
128827,N8OBJ Node 1032,Grape 2,3.330 MHz,3.5448,2025-08-13T000000Z_N0001032_G2R1_EN91fh_FRQ_CHU3.csv,2025-08-13 00:00:00,2025-08-13 00:00:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/128827/,297
128828,N8OBJ Node 1032,Grape 2,7.850 MHz,3.5448,2025-08-13T000000Z_N0001032_G2R2_EN91fh_FRQ_CHU7.csv,2025-08-13 00:00:00,2025-08-13 00:00:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/128828/,297
128829,N8OBJ Node 1032,Grape 2,14.670 MHz,3.6291,2025-08-13T000000Z_N0001032_G2R3_EN91fh_FRQ_CHU14.csv,2025-08-13 00:00:00,2025-08-13 00:00:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/128829/,297
105268,AC0G_ND,RX888_ND,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",1.7168,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105268/,297
105269,WPHAM,RX888 w/ TAPR m...,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",4.3351,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105269/,298
105271,pa0rwt Grape-1 DRF,Flex-1500,14.670 MHz,34.1650,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105271/,298
105272,ADKSILO,SiloRX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",21.5139,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105272/,298
105273,Maasbree,Receiver,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",9.5370,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105273/,298
105275,AC0G_B2,RX888-ka9q,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",35.3577,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105275/,298
105276,AC0G_B1,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",22.7120,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105276/,298
105279,G4HZX-Main,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",19.4479,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105279/,298
105280,AB4EJ-rx888,rx888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",28.0548,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105280/,298
105282,PA0SLT Node 24,Grape 1 Legacy,14.670 MHz,3.8825,2025-08-12T000000Z_N0000024_G1_JO33kg_FRQ_CHU14.csv,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105282/,299
105285,pa0rwt Grape-1 Fldigi,Grape 1 Legacy,14.670 MHz,3.8806,2025-08-12T000000Z_N0000035_C1_JO33lg_FRQ_CHU14.csv,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105285/,299
105286,KV0S_MO,rx888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 20.000 MHz, 25.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",26.4279,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105286/,299
105287,K9TRV-WSPR-RX888-3,RX888-mk2 #3,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",27.9420,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105287/,299
